CRUCH,Programas,Año,Cálculo1,Nombre Región,Matrícula total,Matrícula primer año,Área Conocimiento,Nombre Carrera,Tipo Título,Tipo título,Horario,NombreComuna,Nombre Institución,NombreRegion,Matrícula primer año hombres,Matrícula primer año mujeres,Matrícula total hombres,Matrícula total mujeres,anio,tRegion1_NombreRegion
Consejo rectores,1,01/01/2012,60,Región Metropolitana,60,11,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Vespertino,,U. DE SANTIAGO DE CHILE,,10,1,55,5,2012,Región Metropolitana
Consejo rectores,1,01/01/2012,8,Región Metropolitana,8,0,Tecnología,Ingeniería en Computación e Informática y similares,Licenciatura,Pregrado,Vespertino,,U. DE SANTIAGO DE CHILE,,0,0,7,1,2012,Región Metropolitana
Consejo rectores,1,01/01/2012,195,Región Metropolitana,195,32,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,,U. DE SANTIAGO DE CHILE,,26,6,145,50,2012,Región Metropolitana
Consejo rectores,1,01/01/2012,205,Región Metropolitana,205,64,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,,U. DE SANTIAGO DE CHILE,,56,8,181,24,2012,Región Metropolitana
,1,01/01/2019,207,Región Metropolitana,207,51,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,,I.P. AIEP,,44,7,175,32,2019,Región Metropolitana
,1,01/01/2019,13,Región Metropolitana,13,0,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Santiago,I.P. AIEP,Región Metropolitana,0,0,9,4,2019,Región Metropolitana
,1,01/01/2019,37,Región Metropolitana,37,22,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Diurno,,I.P. ESUCOMEX,,18,4,32,5,2019,Región Metropolitana
,1,01/01/2019,67,Región Metropolitana,67,32,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,,I.P. ESUCOMEX,,29,3,57,10,2019,Región Metropolitana
,1,01/01/2019,64,Región Metropolitana,64,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Peñalolén,U. ADOLFO IBÁÑEZ,Región Metropolitana,0,0,58,6,2019,Región Metropolitana
,0,01/01/2019,0,Región Metropolitana,0,0,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,Las Condes,U. DE LOS ANDES,Región Metropolitana,0,0,0,0,2019,Región Metropolitana
